FID,country,country_lo,name,gppd_idnr,capacity_m,latitude,longitude,primary_fu,other_fuel,other_fu_1,other_fu_2,commission,owner,source,url,geolocatio,wepp_id,year_of_ca,generation,generati_1,generati_2,generati_3,generati_4,generati_5,generati_6,generati_7,estimated_,estimated1,estimate_1,estimate_2,estimate_3,estimate_4,estimate_5,estimate_6,estimate_7,estimate_8
46,CHN,China,Shandong Haihua Weifang power station,WRI1070060,150,37.130499999999998,119.032799999999995,Coal, , , ,2011,Shandong Haihua Weifang Power Station,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,730.899999999999977,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
47,CHN,China,Shandong Hualu Hengsheng power station,WRI1075711,174,37.462299999999999,116.242999999999995,Coal, , , ,2002,Shandong Hualu Hengsheng Chemical Co,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,847.840000000000032,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
48,CHN,China,Shandong Huatai power station,WRI1075712,270,37.009099999999997,118.490499999999997,Coal, , , ,2013,Shandong Huatai Paper Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,1315.619999999999891,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
49,CHN,China,Shandong Jinling power station,WRI1075713,100,36.849899999999998,118.175100000000000,Coal, , , ,2006,Shandong Jinling Mining Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,487.259999999999991,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
50,CHN,China,Shandong Xingda Cogen power station,WRI1075714,360,37.585799999999999,118.644099999999995,Coal, , , ,2016,Shandong Xingda New Energy Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,1754.160000000000082,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
51,CHN,China,Shandong Zhongtai power station,WRI1075715,300,35.858100000000000,117.695800000000006,Coal, , , ,2007,Huaneng Shandong Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,1461.799999999999955,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
52,CHN,China,Shengli Dongying power station,WRI1070314,1700,37.401299999999999,118.524299999999997,Coal, , , ,2004,Shengli Petrolium Administration,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1028542, , , , , , , , , , , , , ,8283.569999999999709,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
53,CHN,China,Shiheng-2 power station,WRI1070315,1890,36.212200000000003,116.513599999999997,Coal, , , ,1998,Shandong Zhonghua Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1028529, , , , , , , , , , , , , ,9209.379999999999200,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
54,CHN,China,Shouguang Jvneng Cogen Power Station,WRI1075727,310,36.872999999999998,118.770600000000002,Coal, , , ,2006,Shouguang Jvneng Cogen Development Co,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,1510.529999999999973,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
55,CHN,China,Taiyang Mill power station,WRI1075733,340,35.534500000000001,116.798299999999998,Coal, , , ,2008,Shandong Sunshine Paper Co. Ltd.,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,1656.710000000000036,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
56,CHN,China,Tengzhou Fuyuan Cogen power station,WRI1070563,48,34.924999999999997,117.115700000000004,Coal, , , ,2005,Tengzhou Fuyuan Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,Industry About, , , , , , , , , , , , , , ,233.879999999999995,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
57,CHN,China,Tengzhou Xinyuan power station,WRI1070564,930,35.067599999999999,117.120400000000004,Coal, , , ,2005,Huadian Tengzhou Xinyuan Thermal Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1055217, , , , , , , , , , , , , ,4531.600000000000364,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
58,CHN,China,Tianyuan Shandong power station,WRI1070570,600,37.053199999999997,117.875699999999995,Coal, , , ,2010,Shandong Tianyuan Thermoelectric,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1088484, , , , , , , , , , , , , ,2923.610000000000127,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
59,CHN,China,Wanjie Gaoke Boshan Cogen power station,WRI1075747,70,36.474499999999999,117.843500000000006,Coal, , , ,2000,Shandong Wanjie Gaoke Co,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,341.079999999999984,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
60,CHN,China,Weihai Cogen power station,WRI1075748,210,37.512500000000003,122.079200000000000,Coal, , , ,2005,Weihai Cogen Power Group,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,1023.259999999999991,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
61,CHN,China,Weihai power station,WRI1070567,1960,37.449900000000000,122.207200000000000,Coal, , , ,2005,Huaneng Shandong Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1028556, , , , , , , , , , , , , ,9550.469999999999345,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
62,CHN,China,Weihua Cogen power station,WRI1075749,100,37.705300000000001,118.156300000000002,Coal, , , ,2016,Weihua Cogen Power Co,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,487.259999999999991,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
63,CHN,China,Weiqiao Huji power station,WRI1070045,2640,37.358800000000002,117.777199999999993,Coal, , , ,2015,Weiqiao Huimin New Material Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,12863.899999999999636,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
64,CHN,China,Weiqiao Town Public Heating power station,WRI1070572,1320,37.025500000000001,117.483800000000002,Coal, , , ,2013,Weiqiao Huimin New Material Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,6431.949999999999818,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
65,CHN,China,Weiqiao Yangxin power station,WRI1070571,1320,37.576500000000003,117.598600000000005,Coal, , , ,2015,Weiqiao Aluminum Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,6431.949999999999818,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
66,CHN,China,Weiqiao Zhanhua power station,WRI1075752,700,38.022599999999997,117.971199999999996,Coal, , , ,2015,Weiqiao Huihong New Material Co.,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,3410.880000000000109,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
67,CHN,China,Weiqiao Zouping-1 power station,WRI1075753,2640,36.910699999999999,117.785399999999996,Coal, , , ,2016,Shandong Hongqiao Limited,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,12863.899999999999636,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
68,CHN,China,Weiqiao Zouping-3 power station,WRI1075754,1200,36.907699999999998,117.774100000000004,Coal, , , ,2008,Shandong Weiqiao Aluminum & Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,5847.220000000000255,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
