country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
CHN,China,CPI Wusu power station,WRI1070332,600,44.4364,84.7608,Coal,,,,2011,CPI Xinjiang Energy Chemistry Group Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1067233,,,,,,,,,,,,,,2923.61,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,CPI Xinchang power station,WRI1070249,1400,28.8612,115.9764,Coal,,,,2010,China Power Investment Corporation (CPI),GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1060925,,,,,,,,,,,,,,6821.76,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,CPI Xining power station,WRI1070484,1320,36.5847,101.4936,Coal,,,,2015,CPI Henan Electric Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1092664,,,,,,,,,,,,,,6431.95,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,CPI Zhongwei Cogen power station,WRI1070193,700,37.623,105.235,Coal,,,,2016,,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1087366,,,,,,,,,,,,,,3410.88,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,CR Changzhou power station,WRI1070274,1260,31.9576,119.9921,Coal,,,,2006,Guodian Changzhou Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1076890,,,,,,,,,,,,,,6139.59,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,CR Liuzhi power station,WRI1075582,1320,26.3883,105.395,Coal,,,,2016,China Resources Power Holdings  Chongqing Energy Investment Group,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,6431.95,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Cangzhou Bohai power station,WRI1070736,700,38.3617,117.6248,Coal,,,,2015,China Resources Power Holdings Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1099433,,,,,,,,,,,,,,3410.88,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Cangzhou power station,WRI1070735,660,38.3658,116.8168,Coal,,,,2007,China Resources Power Holdings Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1068260,,,,,,,,,,,,,,3215.97,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Caofeidian Works power station,WRI1070480,600,38.9446,118.4927,Coal,,,,2009,Shougang Jingtang Iron & Steel United Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1077185,,,,,,,,,,,,,,2923.61,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Castle Peak power station,WRI1070187,4108,22.376,113.9214,Coal,,,,1986,Castle Peak Power Company Limited (CAPCO),GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1012200,,,,,,,,,,,,,,20017.01,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
